From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
7;127.538765;37.559270;MU06;MU;;200.000000;30.00;180.00;;6;127.538765;37.559270;MU05;MU;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
7;127.538765;37.559270;MU06;MU;;200.000000;30.00;180.00;;8;127.661911;37.561088;MU07;MU;;30.00;180.00;;34.5;-90.75;36.42;1;800;V;10918.06;89.79;-4.78;269.79;4.78;0.0;0.0;153.8;NLOS;20.00
7;127.538765;37.559270;MU06;MU;;200.000000;30.00;180.00;;9;127.661911;37.561088;MU08;MU;;30.00;270.00;;34.5;-90.75;36.42;1;800;V;10918.06;89.79;-4.78;269.79;4.78;0.0;0.0;153.8;NLOS;20.00
7;127.538765;37.559270;MU06;MU;;200.000000;30.00;180.00;;14;127.540687;37.460510;MU13;MU;;30.00;90.00;;54.9;-70.41;36.69;1;800;V;11000.07;180.00;-4.89;0.00;4.89;0.0;0.0;133.4;NLOS;20.00
7;127.538765;37.559270;MU06;MU;;200.000000;30.00;180.00;;15;127.652480;37.544217;NODE01;New;RE#;30.00;90.00;;43.6;-91.69;34.07;1;800;V;10212.72;100.29;-4.30;280.29;4.30;0.0;0.0;144.7;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;1;127.661911;37.561088;CC;CC;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;2;127.786888;37.562076;MU01;MU;;30.00;180.00;;28.7;-96.60;36.83;1;800;V;11041.29;90.21;0.85;270.21;-0.85;0.0;0.0;159.6;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;4;127.664581;37.462338;MU03;MU;;30.00;270.00;;38.7;-86.55;36.56;1;800;V;10961.32;179.58;0.78;-0.42;-0.78;0.0;0.0;149.6;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;6;127.538765;37.559270;MU05;MU;;30.00;90.00;;34.5;-90.75;36.41;1;800;V;10916.91;269.79;4.71;89.79;-4.71;0.0;0.0;153.8;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;7;127.538765;37.559270;MU06;MU;;30.00;180.00;;34.5;-90.75;36.41;1;800;V;10916.91;269.79;4.71;89.79;-4.71;0.0;0.0;153.8;NLOS;20.00
