From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
13;128.599914;37.593409;MU12;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;70.4;-69.92;5.53;1;1429.5;V;1658.14;327.09;-12.33;147.09;12.33;0.0;0.0;99.9;LOS;20.00
13;128.599914;37.593409;MU12;MU;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;54.8;-85.52;33.36;1;1429.5;V;10000.38;310.86;-1.64;130.86;1.64;0.0;0.0;115.5;LOS;20.00
13;128.599914;37.593409;MU12;MU;1.000000;30.00;0.00;;15;128.639156;37.629232;NODE02;RE;30.00;0.00;;44.0;-96.30;17.59;1;1429.5;V;5272.18;41.31;-0.68;221.31;0.68;0.0;0.0;126.3;NLOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;41.6;-98.75;17.97;1;1429.5;V;5387.47;90.43;-2.99;270.43;2.99;0.0;0.0;128.8;NLOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;45.6;-94.71;9.93;1;1429.5;V;2976.92;231.28;-2.72;51.28;2.72;0.0;0.0;124.7;NLOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;43.4;-96.96;19.80;1;1429.5;V;5936.52;235.29;-0.57;55.29;0.57;0.0;0.0;127.0;NLOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;56.6;-83.72;27.09;1;1429.5;V;8121.21;215.88;-0.07;35.88;0.07;0.0;0.0;113.7;LOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;45.5;-94.86;22.19;1;1429.5;V;6651.08;33.59;-0.46;213.59;0.46;0.0;0.0;124.9;NLOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;57.4;-82.94;24.77;1;1429.5;V;7424.76;5.57;2.93;185.57;-2.93;0.0;0.0;112.9;LOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;16.1;-124.23;28.20;1;1429.5;V;8453.45;127.79;-0.52;307.79;0.52;0.0;0.0;154.2;NLOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;54.8;-85.52;33.36;1;1429.5;V;10000.04;130.86;1.58;310.86;-1.58;0.0;0.0;115.5;LOS;20.00
14;128.513892;37.652036;NODE01;RE;1.000000;30.00;0.00;;16;128.524266;37.731756;NODE03;RE;30.00;0.00;;42.7;-97.65;29.70;1;1429.5;V;8905.26;6.20;3.13;186.20;-3.13;0.0;0.0;127.7;NLOS;20.00
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;14.9;-125.44;20.76;1;1429.5;V;6224.02;294.17;-4.62;114.17;4.62;0.0;0.0;155.4;NLOS;20.00
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;55.1;-85.25;32.33;1;1429.5;V;9691.73;5.92;0.04;185.92;-0.04;0.0;0.0;115.3;LOS;20.00
